Starting simulation N=40, F_final=0.5, alpha=0.001

--- Phase 1: Adiabatic F ramp (mu fixed at 5.0) ---
Mu-Ramp Step: 12200, Time in Mu-Ramp: 719.9, Current mu: 4.28, Max bond dimensions: 5
Mu-Ramp Step: 12250, Time in Mu-Ramp: 724.9, Current mu: 4.275, Max bond dimensions: 5
Mu-Ramp Step: 12300, Time in Mu-Ramp: 729.9, Current mu: 4.27, Max bond dimensions: 5
Mu-Ramp Step: 12350, Time in Mu-Ramp: 734.9, Current mu: 4.265, Max bond dimensions: 5
Mu-Ramp Step: 12400, Time in Mu-Ramp: 739.9, Current mu: 4.26, Max bond dimensions: 5
Mu-Ramp Step: 12450, Time in Mu-Ramp: 744.9, Current mu: 4.255, Max bond dimensions: 5
Mu-Ramp Step: 12500, Time in Mu-Ramp: 749.9, Current mu: 4.25, Max bond dimensions: 5
Mu-Ramp Step: 12550, Time in Mu-Ramp: 754.9, Current mu: 4.245, Max bond dimensions: 5
Averaging task (ID 8) for mu=4.3 completed. Results saved to output_N40_mu4.3.txt
Mu-Ramp Step: 12600, Time in Mu-Ramp: 759.9, Current mu: 4.24, Max bond dimensions: 5
Mu-Ramp Step: 12650, Time in Mu-Ramp: 764.9, Current mu: 4.235, Max bond dimensions: 5
Mu-Ramp Step: 12700, Time in Mu-Ramp: 769.9, Current mu: 4.23, Max bond dimensions: 5
Mu-Ramp Step: 12750, Time in Mu-Ramp: 774.9, Current mu: 4.225, Max bond dimensions: 6
Mu-Ramp Step: 12800, Time in Mu-Ramp: 779.9, Current mu: 4.22, Max bond dimensions: 5
Mu-Ramp Step: 12850, Time in Mu-Ramp: 784.9, Current mu: 4.215, Max bond dimensions: 5
Mu-Ramp Step: 12900, Time in Mu-Ramp: 789.9, Current mu: 4.21, Max bond dimensions: 5
Mu-Ramp Step: 12950, Time in Mu-Ramp: 794.9, Current mu: 4.205, Max bond dimensions: 5
Mu-Ramp Step: 13000, Time in Mu-Ramp: 799.9, Current mu: 4.2, Max bond dimensions: 5
Scheduling averaging task (ID 9) for mu=4.2 at overall step 13001.
Mu-Ramp Step: 13050, Time in Mu-Ramp: 804.9, Current mu: 4.195, Max bond dimensions: 5
Mu-Ramp Step: 13100, Time in Mu-Ramp: 809.9, Current mu: 4.19, Max bond dimensions: 5
Mu-Ramp Step: 13150, Time in Mu-Ramp: 814.9, Current mu: 4.185, Max bond dimensions: 5
